SRR5091544,PRJNA356102,Metagenomics,40044544,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091547,PRJNA356102,Metagenomics,25268505,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091548,PRJNA356102,Metagenomics,24406052,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091549,PRJNA356102,Metagenomics,14688645,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091550,PRJNA356102,Metagenomics,12188937,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091552,PRJNA356102,Metagenomics,19918024,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091556,PRJNA356102,Metagenomics,42978552,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091558,PRJNA356102,Metagenomics,17641763,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091561,PRJNA356102,Metagenomics,18315957,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091563,PRJNA356102,Metagenomics,11191717,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091566,PRJNA356102,Metagenomics,13979553,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091567,PRJNA356102,Metagenomics,23287103,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091568,PRJNA356102,Metagenomics,31519627,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091569,PRJNA356102,Metagenomics,27641920,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091570,PRJNA356102,Metagenomics,27148196,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091571,PRJNA356102,Metagenomics,14230882,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091572,PRJNA356102,Metagenomics,20066975,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091580,PRJNA356102,Metagenomics,46727210,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091581,PRJNA356102,Metagenomics,26244540,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091582,PRJNA356102,Metagenomics,24141286,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091584,PRJNA356102,Metagenomics,14661013,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091585,PRJNA356102,Metagenomics,17137059,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091586,PRJNA356102,Metagenomics,16994073,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091589,PRJNA356102,Metagenomics,11319670,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091590,PRJNA356102,Metagenomics,22834430,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091591,PRJNA356102,Metagenomics,35039211,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091592,PRJNA356102,Metagenomics,11763712,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091593,PRJNA356102,Metagenomics,25260728,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091594,PRJNA356102,Metagenomics,24818873,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091597,PRJNA356102,Metagenomics,15511253,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091598,PRJNA356102,Metagenomics,28111429,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091601,PRJNA356102,Metagenomics,25132102,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091602,PRJNA356102,Metagenomics,13649152,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091604,PRJNA356102,Metagenomics,17921616,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091605,PRJNA356102,Metagenomics,25105640,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091606,PRJNA356102,Metagenomics,7227875,China,NULL,NULL,NULL,NULL,D001172,1,1
SRR5091608,PRJNA356102,Metagenomics,20362462,China,NULL,NULL,NULL,NULL,D001172,1,1
